mod,def,variable,value
age_60,0.14,h_NQ_2,98.0827032159941
age_60,0.14,h_NQ_3,96.220624954787
age_60,0.14,h_NQ_4,94.4106628462572
age_60,0.14,h_NQ_5,92.6596752561672
age_60,0.14,h_NQ_6,90.9686458562094
age_60,0.14,h_NQ_7,89.3426280216676
age_60,0.14,h_NQ_8,87.7914421684006
age_60,0.14,h_NQ_9,86.3268464086907
age_60,0.14,h_NQ_10,84.9549268094228
age_60,0.14,h_NQ_11,83.7056449568323
age_60,0.14,h_NQ_12,82.6111092501721
age_60,0.14,h_NQ_13,81.7115191335906
age_60,0.14,h_NQ_14,81.0464174336069
age_60,0.14,h_NQ_15,80.4924908018011
age_60,0.14,h_NQ_16,80.0659683003875
age_60,0.14,h_NQ_17,79.7864651375081
age_60,0.14,lamda_NQ_1,24.4744807097729
age_60,0.14,lamda_NQ_2,21.1424669305982
age_60,0.14,lamda_NQ_3,18.3641206899442
age_60,0.14,lamda_NQ_4,16.0416982121015
age_60,0.14,lamda_NQ_5,14.0958380933613
age_60,0.14,lamda_NQ_6,12.4619957714002
age_60,0.14,lamda_NQ_7,11.0875676010251
age_60,0.14,lamda_NQ_8,9.9295808692832
age_60,0.14,lamda_NQ_9,8.9528512679119
age_60,0.14,lamda_NQ_10,8.12854292356819
age_60,0.14,lamda_NQ_11,7.43285835065028
age_60,0.14,lamda_NQ_12,6.84606783474749
age_60,0.14,lamda_NQ_13,6.35168389108585
age_60,0.14,lamda_NQ_14,5.93582766841709
age_60,0.14,lamda_NQ_15,5.58771473698409
age_60,0.14,lamda_NQ_16,5.29838203369085
age_60,0.14,lamda_NQ_17,5.06032864248578
age_60,0.14,pen_NQ_10,0.10029029002523
age_60,0.14,pen_NQ_11,0.10029029002523
age_60,0.14,pen_NQ_12,0.10029029002523
age_60,0.14,pen_NQ_13,0.10029029002523
age_60,0.14,pen_NQ_14,0.10029029002523
age_60,0.14,pen_NQ_15,0.10029029002523
age_60,0.14,pen_NQ_16,0.10029029002523
age_60,0.14,pen_NQ_17,0.10029029002523
age_60,0.14,P_NQ_1,0.7
age_60,0.14,P_NQ_2,0.692827532060789
age_60,0.14,P_NQ_3,0.681993021948173
age_60,0.14,P_NQ_4,0.667527249936506
age_60,0.14,P_NQ_5,0.64952774963723
age_60,0.14,P_NQ_6,0.628160010220356
age_60,0.14,P_NQ_7,0.603657881870862
age_60,0.14,P_NQ_8,0.576322414772388
age_60,0.14,P_NQ_9,0.546517823420579
age_60,0.14,P_NQ_10,0.514662195167666
age_60,0.14,P_NQ_11,0.481225227771081
age_60,0.14,P_NQ_12,0.446716832147154
age_60,0.14,P_NQ_13,0.41167444676734
age_60,0.14,P_NQ_14,0.376643758132296
age_60,0.14,P_NQ_15,0.342095296934913
age_60,0.14,P_NQ_16,0.308466021742945
age_60,0.14,P_NQ_17,0.276147522096556
age_60,0.14,welf_NQ_1,-21.8243083147254
age_60,0.14,welf_NQ_2,-19.8631372587199
age_60,0.14,welf_NQ_3,-18.0471765623788
age_60,0.14,welf_NQ_4,-16.3597265681503
age_60,0.14,welf_NQ_5,-14.7855304599929
age_60,0.14,welf_NQ_6,-13.3109286064923
age_60,0.14,welf_NQ_7,-11.9233456292291
age_60,0.14,welf_NQ_8,-10.6101554751333
age_60,0.14,welf_NQ_9,-9.35738640627209
age_60,0.14,welf_NQ_10,-8.14877077814993
age_60,0.14,welf_NQ_11,-7.219234107874
age_60,0.14,welf_NQ_12,-6.30558651597326
age_60,0.14,welf_NQ_13,-5.39091801009707
age_60,0.14,welf_NQ_14,-4.45574246266412
age_60,0.14,welf_NQ_15,-3.4780618592045
age_60,0.14,welf_NQ_16,-2.43169247569681
age_60,0.14,welf_NQ_17,-1.28510084186317
age_60,0.14,a_NQ_1,1.04687963663513
age_60,0.14,a_NQ_2,1.05077269305421
age_60,0.14,a_NQ_3,1.06270626031367
age_60,0.14,a_NQ_4,1.07662020396865
age_60,0.14,a_NQ_5,1.08301526001922
age_60,0.14,a_NQ_6,1.07316380154139
age_60,0.14,a_NQ_7,1.04424529063139
age_60,0.14,a_NQ_8,1.00113734534375
age_60,0.14,a_NQ_9,0.953434673228949
age_60,0.14,ih_NQ_1,0.00727607185415574
