variable,value,model
L_Q,4.29426834016163,base
MPL_Q,0.703149468816229,base
penind_Q,0.459744778341981,base
pi_Q,0.538581149206332,base
k_NQ_1,0,base
k_NQ_2,0.102945474428043,base
k_NQ_3,0.235080393166818,base
k_NQ_4,0.38538169429368,base
k_NQ_5,0.549520434804993,base
k_NQ_6,0.725156873583283,base
k_NQ_7,0.910776629271218,base
k_NQ_8,1.10526138028206,base
k_NQ_9,1.30769166832171,base
k_NQ_10,1.51724146305809,base
k_NQ_11,1.45366941453065,base
k_NQ_12,1.36310895745119,base
k_NQ_13,1.24166348549406,base
k_NQ_14,1.08498086512903,base
k_NQ_15,0.888204403344774,base
k_NQ_16,0.645918718125186,base
k_NQ_17,0.352089987619827,base
c_NQ_1,0.185971687480863,base
c_NQ_2,0.197170633316199,base
c_NQ_3,0.208999981093518,base
c_NQ_4,0.221491463638832,base
c_NQ_5,0.234678090620412,base
c_NQ_6,0.248594171618811,base
c_NQ_7,0.263275336733336,base
c_NQ_8,0.278758554381206,base
c_NQ_9,0.295082145917906,base
c_NQ_10,0.312285796678513,base
c_NQ_11,0.330410563004465,base
c_NQ_12,0.349498874801811,base
c_NQ_13,0.369594533123668,base
c_NQ_14,0.390742702257525,base
c_NQ_15,0.41298989575473,base
c_NQ_16,0.436383955811968,base
c_NQ_17,0.460974025383884,base
lab_NQ_1,0.889812774989557,base
lab_NQ_2,0.893458594419573,base
lab_NQ_3,0.894074694756863,base
lab_NQ_4,0.893620992814564,base
lab_NQ_5,0.89264854739075,base
lab_NQ_6,0.891389734908763,base
lab_NQ_7,0.889966044470309,base
lab_NQ_8,0.888450717327612,base
lab_NQ_9,0.886892785228212,base
w_NQ_1,0.309472381038904,base
w_NQ_2,0.340116653664374,base
w_NQ_3,0.35804240401215,base
w_NQ_4,0.370760926289844,base
w_NQ_5,0.380626178595371,base
w_NQ_6,0.38868667663762,base
w_NQ_7,0.395501730626893,base
w_NQ_8,0.401405198915314,base
w_NQ_9,0.406612426985396,base
beta_NQ_2,0.989795918367347,base
beta_NQ_3,0.989587671803415,base
beta_NQ_4,0.989375175309607,base
beta_NQ_5,0.989158342152661,base
beta_NQ_6,0.988937083829246,base
beta_NQ_7,0.988711310029842,base
beta_NQ_8,0.98848092860188,base
beta_NQ_9,0.988245845512122,base
beta_NQ_10,0.988005964808288,base
beta_NQ_11,0.987761188579886,base
beta_NQ_12,0.987511416918251,base
beta_NQ_13,0.987256547875766,base
beta_NQ_14,0.986996477424251,base
beta_NQ_15,0.986731099412501,base
beta_NQ_16,0.986460305522961,base
beta_NQ_17,0.986183985227511,base
h_NQ_2,98,base
h_NQ_3,96.04,base
h_NQ_4,94.1192,base
h_NQ_5,92.236816,base
h_NQ_6,90.39207968,base
h_NQ_7,88.5842380864,base
h_NQ_8,86.812553324672,base
h_NQ_9,85.0763022581786,base
h_NQ_10,83.374776213015,base
h_NQ_11,81.7072806887547,base
h_NQ_12,80.0731350749796,base
h_NQ_13,78.47167237348,base
h_NQ_14,76.9022389260104,base
h_NQ_15,75.3641941474902,base
h_NQ_16,73.8569102645404,base
h_NQ_17,72.3797720592496,base
lamda_NQ_1,4.78699017692332,base
lamda_NQ_2,4.51509759547321,base
lamda_NQ_3,4.25954421755951,base
lamda_NQ_4,4.01931817801112,base
lamda_NQ_5,3.79347158323823,base
lamda_NQ_6,3.58111640994656,base
lamda_NQ_7,3.38142066945326,base
lamda_NQ_8,3.19360482028193,base
lamda_NQ_9,3.01693841284939,base
lamda_NQ_10,2.85073695111817,base
lamda_NQ_11,2.69435895707989,base
lamda_NQ_12,2.54720322486023,base
lamda_NQ_13,2.4087062521019,base
lamda_NQ_14,2.2783398370897,base
lamda_NQ_15,2.15560883083713,base
lamda_NQ_16,2.04004903405946,base
lamda_NQ_17,1.93122522961696,base
pen_NQ_10,0.116934184333396,base
pen_NQ_11,0.116934184333396,base
pen_NQ_12,0.116934184333396,base
pen_NQ_13,0.116934184333396,base
pen_NQ_14,0.116934184333396,base
pen_NQ_15,0.116934184333396,base
pen_NQ_16,0.116934184333396,base
pen_NQ_17,0.116934184333396,base
P_NQ_1,0.461418850793668,base
P_NQ_2,0.456710495173324,base
P_NQ_3,0.451955075606755,base
P_NQ_4,0.4471531321605,base
P_NQ_5,0.44230525089625,base
P_NQ_6,0.4374120649837,base
P_NQ_7,0.432474255792892,base
P_NQ_8,0.427492553962565,base
P_NQ_9,0.422467740440872,base
P_NQ_10,0.417400647494661,base
P_NQ_11,0.41229215968334,base
P_NQ_12,0.407143214793181,base
P_NQ_13,0.401954804727758,base
P_NQ_14,0.39672797635005,base
P_NQ_15,0.391463832271581,base
P_NQ_16,0.386163531583813,base
P_NQ_17,0.380828290526855,base
welf_NQ_1,-19.840286971372,base
welf_NQ_2,-18.4734208351803,base
welf_NQ_3,-17.1068046131647,base
welf_NQ_4,-15.7458800336777,base
welf_NQ_5,-14.3923971600266,base
welf_NQ_6,-13.0469823191501,base
welf_NQ_7,-11.7097557002299,base
welf_NQ_8,-10.380553792851,base
welf_NQ_9,-9.05902784238405,base
welf_NQ_10,-7.74469311109847,base
welf_NQ_11,-6.72233172120352,base
welf_NQ_12,-5.71561963801813,base
welf_NQ_13,-4.72449994909044,base
welf_NQ_14,-3.74890486716224,base
welf_NQ_15,-2.78875514023572,base
welf_NQ_16,-1.84395941955974,base
welf_NQ_17,-0.91441358164233,base
L_NQ,2.98015765702666,base
MPL_NQ,0.596839592003601,base
penind_NQ,0.341927962064947,base
pi_NQ,0.461418850793668,base
Kmig,0,base
y1,6.85455510548678,base
cCheck,1.86190129980446e-08,base
y,6.85455512410579,base
c,5.55984940095716,base
I,0.236937547773028,base
g,0.891092166133753,base
r,0.153578771723799,base
kbar,11.8468773886514,base
nbar,5.42175820194389,base
Ptot,15.546317331646,base
Pret,6.92207189181243,base
Tw,0.928973902235573,base
Deped,0.166675990622841,base
rd,0.153578771723799,base
H,797.736164317796,base
R,0.173578771723799,base
beq,0.0120669586955529,base
Tc,0.685455512410579,base
Tk,0.685455512410579,base
penbase,3.95550491979094,base
retire,0.959637717374811,base
Def,-0.315814251049895,base
D,2.05636653723174,base
lambc,3.85811492063323,base
Defratio,-0.0460736321076846,base
Dratio,0.3,base
Gratio,0.13,base
Penratio,0.14,base
Edratio,0.0194528733205961,base
Tkratio,0.1,base
Tcratio,0.1,base
Twratio,0.135526505428281,base
rhop,0.341984857361941,base
tauw,-0.0886274539844294,base
tauk,0.321019878322348,base
tauc,0.12328670518032,base
v,0.8,base
A,1,base
tauf,0.35,base
xpop,1,base
lambb,50,base
lambbb,-50,base
A_Q,2,base
h_Q_1,100,base
mig_Q_2,0,base
med_Q_2,0,base
mig_Q_3,0,base
med_Q_3,0,base
mig_Q_4,0,base
med_Q_4,0,base
mig_Q_5,0,base
med_Q_5,0,base
mig_Q_6,0,base
med_Q_6,0,base
mig_Q_7,0,base
med_Q_7,0,base
mig_Q_8,0,base
med_Q_8,0,base
mig_Q_9,0,base
med_Q_9,0,base
mig_Q_10,0,base
med_Q_10,0,base
mig_Q_11,0,base
med_Q_11,0,base
mig_Q_12,0,base
med_Q_12,0,base
mig_Q_13,0,base
med_Q_13,0,base
mig_Q_14,0,base
med_Q_14,0,base
mig_Q_15,0,base
med_Q_15,0,base
mig_Q_16,0,base
med_Q_16,0,base
mig_Q_17,0,base
med_Q_17,0,base
h_NQ_1,100,base
mig_NQ_2,0,base
med_NQ_2,0,base
mig_NQ_3,0,base
med_NQ_3,0,base
mig_NQ_4,0,base
med_NQ_4,0,base
mig_NQ_5,0,base
med_NQ_5,0,base
mig_NQ_6,0,base
med_NQ_6,0,base
mig_NQ_7,0,base
med_NQ_7,0,base
mig_NQ_8,0,base
med_NQ_8,0,base
mig_NQ_9,0,base
med_NQ_9,0,base
mig_NQ_10,0,base
med_NQ_10,0,base
mig_NQ_11,0,base
med_NQ_11,0,base
mig_NQ_12,0,base
med_NQ_12,0,base
mig_NQ_13,0,base
med_NQ_13,0,base
mig_NQ_14,0,base
med_NQ_14,0,base
mig_NQ_15,0,base
med_NQ_15,0,base
mig_NQ_16,0,base
med_NQ_16,0,base
mig_NQ_17,0,base
med_NQ_17,0,base
age,60,base
k_Q_1,0,55
k_Q_2,-0.339697195316876,55
k_Q_3,-0.0791879035507086,55
k_Q_4,0.212994016858006,55
k_Q_5,0.532314280308957,55
k_Q_6,0.876891821925448,55
k_Q_7,1.24603183981215,55
k_Q_8,1.63969296503253,55
k_Q_9,2.05825116494021,55
k_Q_10,1.97205271692601,55
k_Q_11,1.85895279925952,55
k_Q_12,1.71573348090119,55
k_Q_13,1.53886065962671,55
k_Q_14,1.3244551497301,55
k_Q_15,1.06826118646807,55
k_Q_16,0.765612116255072,55
k_Q_17,0.411393020728517,55
c_Q_1,0.255397004482457,55
c_Q_2,0.267602444569939,55
c_Q_3,0.28033219100276,55
c_Q_4,0.293604426729181,55
c_Q_5,0.307437638781444,55
c_Q_6,0.321850595725542,55
c_Q_7,0.336862322184885,55
c_Q_8,0.352492070267308,55
c_Q_9,0.368759287718938,55
c_Q_10,0.385683582612047,55
c_Q_11,0.403284684411412,55
c_Q_12,0.421582401178528,55
c_Q_13,0.440596572774822,55
c_Q_14,0.460347019846601,55
c_Q_15,0.48085348841309,55
c_Q_16,0.502135589873556,55
c_Q_17,0.524212736254742,55
lab_Q_1,0,55
lab_Q_2,0.909433502944859,55
lab_Q_3,0.909708695541256,55
lab_Q_4,0.909347064143469,55
lab_Q_5,0.908675391689002,55
lab_Q_6,0.907834099286414,55
lab_Q_7,0.90689736208995,55
lab_Q_8,0.905910047222073,55
w_Q_1,0,55
w_Q_2,0.583573112760594,55
w_Q_3,0.605701166481267,55
w_Q_4,0.621401270451716,55
w_Q_5,0.633579217190318,55
w_Q_6,0.643529324172389,55
w_Q_7,0.651942019756014,55
w_Q_8,0.659229428142838,55
beta_Q_2,0.989795918367347,55
beta_Q_3,0.989587671803415,55
beta_Q_4,0.989375175309607,55
beta_Q_5,0.989158342152661,55
beta_Q_6,0.988937083829246,55
beta_Q_7,0.988711310029842,55
beta_Q_8,0.98848092860188,55
beta_Q_9,0.988245845512122,55
beta_Q_10,0.988005964808288,55
beta_Q_11,0.987761188579886,55
beta_Q_12,0.987511416918251,55
beta_Q_13,0.987256547875766,55
beta_Q_14,0.986996477424251,55
beta_Q_15,0.986731099412501,55
beta_Q_16,0.986460305522961,55
beta_Q_17,0.986183985227511,55
h_Q_2,98,55
h_Q_3,96.04,55
h_Q_4,94.1192,55
h_Q_5,92.236816,55
h_Q_6,90.39207968,55
h_Q_7,88.5842380864,55
h_Q_8,86.812553324672,55
h_Q_9,85.0763022581786,55
h_Q_10,83.374776213015,55
h_Q_11,81.7072806887547,55
h_Q_12,80.0731350749796,55
h_Q_13,78.47167237348,55
h_Q_14,76.9022389260104,55
h_Q_15,75.3641941474902,55
h_Q_16,73.8569102645404,55
h_Q_17,72.3797720592496,55
lamda_Q_1,3.48243899119821,55
lamda_Q_2,3.32360374372171,55
lamda_Q_3,3.17268053802129,55
lamda_Q_4,3.02926116101011,55
lamda_Q_5,2.89295900835677,55
lamda_Q_6,2.76340792421239,55
lamda_Q_7,2.64026110393125,55
lamda_Q_8,2.52319005634468,55
lamda_Q_9,2.41188362233729,55
lamda_Q_10,2.30604704665248,55
lamda_Q_11,2.20540110002344,55
lamda_Q_12,2.10968124888486,55
lamda_Q_13,2.01863687007141,55
lamda_Q_14,1.93203050805126,55
lamda_Q_15,1.84963717237773,55
lamda_Q_16,1.77124367316901,55
lamda_Q_17,1.69664799254619,55
pen_Q_9,0.128482117483039,55
pen_Q_10,0.128482117483039,55
pen_Q_11,0.128482117483039,55
pen_Q_12,0.128482117483039,55
pen_Q_13,0.128482117483039,55
pen_Q_14,0.128482117483039,55
pen_Q_15,0.128482117483039,55
pen_Q_16,0.128482117483039,55
pen_Q_17,0.128482117483039,55
P_Q_1,0.538629161176234,55
P_Q_2,0.533132945245864,55
P_Q_3,0.527581790047552,55
P_Q_4,0.521976326018453,55
P_Q_5,0.51631723728735,55
P_Q_6,0.510605262973725,55
P_Q_7,0.504841198462884,55
P_Q_8,0.499025896653077,55
P_Q_9,0.493160269170365,55
P_Q_10,0.487245287546782,55
P_Q_11,0.481281984357157,55
P_Q_12,0.475271454309764,55
P_Q_13,0.469214855285753,55
P_Q_14,0.463113409322168,55
P_Q_15,0.456968403533134,55
P_Q_16,0.450781190963635,55
P_Q_17,0.444553191370121,55
welf_Q_1,-20.5217217808299,55
welf_Q_2,-15.7836031534105,55
welf_Q_3,-14.5850035029884,55
welf_Q_4,-13.3868830371052,55
welf_Q_5,-12.1902846548795,55
welf_Q_6,-10.9953850396493,55
welf_Q_7,-9.80195690286564,55
welf_Q_8,-8.60953567436049,55
welf_Q_9,-7.41749274582542,55
welf_Q_10,-6.55269799261338,55
welf_Q_11,-5.69856846018793,55
welf_Q_12,-4.85491545491447,55
welf_Q_13,-4.0215321502199,55
welf_Q_14,-3.19819243457919,55
welf_Q_15,-2.38464967080693,55
welf_Q_16,-1.58063535864205,55
welf_Q_17,-0.785857691825538,55
L_Q,3.77587230550992,55
MPL_Q,0.736755689343788,55
penind_Q,0.486165942780341,55
pi_Q,0.538629161176234,55
k_NQ_1,0,55
k_NQ_2,0.113970507373979,55
k_NQ_3,0.261004640715058,55
k_NQ_4,0.429706005185379,55
k_NQ_5,0.615872068394231,55
k_NQ_6,0.817493774374711,55
k_NQ_7,1.03352104345813,55
k_NQ_8,1.26341191737157,55
k_NQ_9,1.5069305180882,55
k_NQ_10,1.4444266952849,55
k_NQ_11,1.36212018110727,55
k_NQ_12,1.25763873000532,55
k_NQ_13,1.12837693891485,55
k_NQ_14,0.971474926036313,55
k_NQ_15,0.783795104788004,55
k_NQ_16,0.561896882623948,55
k_NQ_17,0.302009099005102,55
c_NQ_1,0.189165383837694,55
c_NQ_2,0.198205610302985,55
c_NQ_3,0.207634175747516,55
c_NQ_4,0.217464547763272,55
c_NQ_5,0.227710419175807,55
c_NQ_6,0.238385691336517,55
c_NQ_7,0.24950445525081,55
c_NQ_8,0.261080970414362,55
c_NQ_9,0.273129641225291,55
c_NQ_10,0.285664990833051,55
c_NQ_11,0.298701632295458,55
c_NQ_12,0.312254236887226,55
c_NQ_13,0.326337499436256,55
c_NQ_14,0.340966100538406,55
c_NQ_15,0.356154665515326,55
c_NQ_16,0.371917719979274,55
c_NQ_17,0.388269641872608,55
lab_NQ_1,0.892340905224071,55
lab_NQ_2,0.896613346620949,55
lab_NQ_3,0.897894952016383,55
lab_NQ_4,0.898120693097894,55
lab_NQ_5,0.897833624528597,55
lab_NQ_6,0.897261145502613,55
lab_NQ_7,0.896520489486316,55
lab_NQ_8,0.895680787035391,55
w_NQ_1,0.322455492788601,55
w_NQ_2,0.354385366457528,55
w_NQ_3,0.373063145206614,55
w_NQ_4,0.386315240126455,55
w_NQ_5,0.396594363526686,55
w_NQ_6,0.404993018875541,55
w_NQ_7,0.41209398079374,55
w_NQ_8,0.418245113795381,55
beta_NQ_2,0.989795918367347,55
beta_NQ_3,0.989587671803415,55
beta_NQ_4,0.989375175309607,55
beta_NQ_5,0.989158342152661,55
beta_NQ_6,0.988937083829246,55
beta_NQ_7,0.988711310029842,55
beta_NQ_8,0.98848092860188,55
beta_NQ_9,0.988245845512122,55
beta_NQ_10,0.988005964808288,55
beta_NQ_11,0.987761188579886,55
beta_NQ_12,0.987511416918251,55
beta_NQ_13,0.987256547875766,55
beta_NQ_14,0.986996477424251,55
beta_NQ_15,0.986731099412501,55
beta_NQ_16,0.986460305522961,55
beta_NQ_17,0.986183985227511,55
h_NQ_2,98,55
h_NQ_3,96.04,55
h_NQ_4,94.1192,55
h_NQ_5,92.236816,55
h_NQ_6,90.39207968,55
h_NQ_7,88.5842380864,55
h_NQ_8,86.812553324672,55
h_NQ_9,85.0763022581786,55
h_NQ_10,83.374776213015,55
h_NQ_11,81.7072806887547,55
h_NQ_12,80.0731350749796,55
h_NQ_13,78.47167237348,55
h_NQ_14,76.9022389260104,55
h_NQ_15,75.3641941474902,55
h_NQ_16,73.8569102645404,55
h_NQ_17,72.3797720592496,55
lamda_NQ_1,4.70172961138636,55
lamda_NQ_2,4.48728209680397,55
lamda_NQ_3,4.28351683141241,55
lamda_NQ_4,4.08988267632253,55
lamda_NQ_5,3.90585766717646,55
lamda_NQ_6,3.73094744763361,55
lamda_NQ_7,3.56468378790572,55
lamda_NQ_8,3.40662318369655,55
lamda_NQ_9,3.25634553115655,55
lamda_NQ_10,3.11345287370386,55
lamda_NQ_11,2.97756821679102,55
lamda_NQ_12,2.84833440691157,55
lamda_NQ_13,2.72541307134445,55
lamda_NQ_14,2.60848361532612,55
lamda_NQ_15,2.49724227352209,55
lamda_NQ_16,2.39140121284109,55
lamda_NQ_17,2.29068768379767,55
pen_NQ_9,0.0950089676038475,55
pen_NQ_10,0.0950089676038475,55
pen_NQ_11,0.0950089676038475,55
pen_NQ_12,0.0950089676038475,55
pen_NQ_13,0.0950089676038475,55
pen_NQ_14,0.0950089676038475,55
pen_NQ_15,0.0950089676038475,55
pen_NQ_16,0.0950089676038475,55
pen_NQ_17,0.0950089676038475,55
P_NQ_1,0.461370838823766,55
P_NQ_2,0.456662973121483,55
P_NQ_3,0.451908048370114,55
P_NQ_4,0.447106604580004,55
P_NQ_5,0.442259227751862,55
P_NQ_6,0.4373665509895,55
P_NQ_7,0.432429255592063,55
P_NQ_8,0.427448072122262,55
P_NQ_9,0.422423781446991,55
P_NQ_10,0.4173572157465,55
P_NQ_11,0.412249259488155,55
P_NQ_12,0.407100850360648,55
P_NQ_13,0.401912980164342,55
P_NQ_14,0.396686695653288,55
P_NQ_15,0.391423099324282,55
P_NQ_16,0.386123350148175,55
P_NQ_17,0.380788664238525,55
welf_NQ_1,-20.5217217808299,55
welf_NQ_2,-19.1957802577202,55
welf_NQ_3,-17.8580287235034,55
welf_NQ_4,-16.5135148033456,55
welf_NQ_5,-15.1635514200621,55
welf_NQ_6,-13.8082970846765,55
welf_NQ_7,-12.447374134384,55
welf_NQ_8,-11.080089700974,55
welf_NQ_9,-9.70553202231189,55
welf_NQ_10,-8.62689739558469,55
welf_NQ_11,-7.55009687174514,55
welf_NQ_12,-6.47445134481251,55
welf_NQ_13,-5.39923142829323,55
welf_NQ_14,-4.32365393725468,55
welf_NQ_15,-3.2468780888785,55
welf_NQ_16,-2.16800139622126,55
welf_NQ_17,-1.08605522743883,55
L_NQ,2.64986216351772,55
MPL_NQ,0.621878450378017,55
penind_NQ,0.359506250461803,55
pi_NQ,0.461370838823766,55
Kmig,0,55
y1,6.3282679704011,55
cCheck,1.37463374016988e-11,55
y,6.32826797041484,55
c,5.08916659892722,55
I,0.242742603722492,55
g,0.82267483615393,55
r,0.136419216233576,55
kbar,12.1371301861246,55
nbar,4.78708910548314,55
Ptot,15.546317331646,55
Pret,7.83765594242978,55
Tw,0.840915110201596,55
Deped,0.173683931597456,55
rd,0.136419216233576,55
H,719.841658884706,55
R,0.156419216233576,55
beq,0.011948969712211,55
Tc,0.632826797041484,55
Tk,0.632826797041484,55
penbase,3.64384759971493,55
retire,0.885957515858078,55
Def,-0.258989206994592,55
D,1.89848039112445,55
lambc,3.86291611762338,55
Defratio,-0.0409257648704807,55
Dratio,0.3,55
Gratio,0.13,55
Penratio,0.14,55
Edratio,0.0219565836857026,55
Tkratio,0.1,55
Tcratio,0.1,55
Twratio,0.132882348556183,55
rhop,0.264276260791958,55
tauw,-0.093726899213584,55
tauk,0.330504974813047,55
tauc,0.12434782488254,55
v,0.8,55
A,1,55
tauf,0.35,55
xpop,1,55
lambb,50,55
lambbb,-50,55
A_Q,2,55
h_Q_1,100,55
mig_Q_2,0,55
med_Q_2,0,55
mig_Q_3,0,55
med_Q_3,0,55
mig_Q_4,0,55
med_Q_4,0,55
mig_Q_5,0,55
med_Q_5,0,55
mig_Q_6,0,55
med_Q_6,0,55
mig_Q_7,0,55
med_Q_7,0,55
mig_Q_8,0,55
med_Q_8,0,55
mig_Q_9,0,55
med_Q_9,0,55
mig_Q_10,0,55
med_Q_10,0,55
mig_Q_11,0,55
med_Q_11,0,55
mig_Q_12,0,55
med_Q_12,0,55
mig_Q_13,0,55
med_Q_13,0,55
mig_Q_14,0,55
med_Q_14,0,55
mig_Q_15,0,55
med_Q_15,0,55
mig_Q_16,0,55
med_Q_16,0,55
mig_Q_17,0,55
med_Q_17,0,55
h_NQ_1,100,55
mig_NQ_2,0,55
med_NQ_2,0,55
mig_NQ_3,0,55
med_NQ_3,0,55
mig_NQ_4,0,55
med_NQ_4,0,55
mig_NQ_5,0,55
med_NQ_5,0,55
mig_NQ_6,0,55
med_NQ_6,0,55
mig_NQ_7,0,55
med_NQ_7,0,55
mig_NQ_8,0,55
med_NQ_8,0,55
mig_NQ_9,0,55
med_NQ_9,0,55
mig_NQ_10,0,55
med_NQ_10,0,55
mig_NQ_11,0,55
med_NQ_11,0,55
mig_NQ_12,0,55
med_NQ_12,0,55
mig_NQ_13,0,55
med_NQ_13,0,55
mig_NQ_14,0,55
med_NQ_14,0,55
mig_NQ_15,0,55
med_NQ_15,0,55
mig_NQ_16,0,55
med_NQ_16,0,55
mig_NQ_17,0,55
med_NQ_17,0,55
age,55,55
k_Q_1,0,65
k_Q_2,-0.317499090356211,65
k_Q_3,-0.111733324865184,65
k_Q_4,0.116202139145548,65
k_Q_5,0.361255824975529,65
k_Q_6,0.620474964019864,65
k_Q_7,0.891705752256085,65
k_Q_8,1.1731037927216,65
k_Q_9,1.46289813022596,65
k_Q_10,1.75925352232534,65
k_Q_11,2.06017544662471,65
k_Q_12,1.96462364438555,65
k_Q_13,1.81907789362566,65
k_Q_14,1.61503668817875,65
k_Q_15,1.34283553001611,65
k_Q_16,0.991501309891738,65
k_Q_17,0.548589200352477,65
c_Q_1,0.2406663287268,65
c_Q_2,0.258380233222892,65
c_Q_3,0.277339581881143,65
c_Q_4,0.297626200339119,65
c_Q_5,0.319326728936734,65
c_Q_6,0.342532850928555,65
c_Q_7,0.367341525918882,65
c_Q_8,0.393855227988118,65
c_Q_9,0.422182187882712,65
c_Q_10,0.452436638535932,65
c_Q_11,0.484739063073,65
c_Q_12,0.519216444328494,65
c_Q_13,0.556002514773291,65
c_Q_14,0.595238005599915,65
c_Q_15,0.637070893563313,65
c_Q_16,0.681656644006268,65
c_Q_17,0.729158448321857,65
lab_Q_1,0,65
lab_Q_2,0.90434363353569,65
lab_Q_3,0.903273797957187,65
lab_Q_4,0.901539228114878,65
lab_Q_5,0.899476314017134,65
lab_Q_6,0.897233668489771,65
lab_Q_7,0.89489385107005,65
lab_Q_8,0.892510608717414,65
lab_Q_9,0.890123259027503,65
lab_Q_10,0.887763095748859,65
w_Q_1,0,65
w_Q_2,0.532775733295098,65
